month,reporter_code,partner_code,commodity_code,flow_code,trade_value_usd,flow_volume,published_at,available_at,vintage_date,source
2024-01,699,484,6109,M,7712.996,260.264,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,490,6109,M,163.392,4.48,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,528,6109,M,3581.367,107.066,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,558,6109,M,11781.1,345.182,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,616,6109,M,25.333,0.695,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,620,6109,M,77359.023,2579.163,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,699,6109,M,2119.182,58.88,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,702,6109,M,2482.452,83.631,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,704,6109,M,1276219.206,38535.044,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,724,6109,M,57269.217,1789.722,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,752,6109,M,1364.363,38.356,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,757,6109,M,2092.285,70.601,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,764,6109,M,27571.433,765.421,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,784,6109,M,1580.263,53.324,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,788,6109,M,223449.362,7530.781,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,792,6109,M,727174.7,24166.494,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,818,6109,M,18816.432,634.934,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,826,6109,M,529.453,17.866,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,842,6109,M,28248.003,783.59,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,0,6203,M,23238472.864,718930.697,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,36,6203,M,821.281,19.74,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,40,6203,M,73.029,1.65,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,50,6203,M,15979878.747,509809.293,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,56,6203,M,144892.472,5040.36,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,76,6203,M,359.853,11.905,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,100,6203,M,39671.378,1119.481,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,104,6203,M,107751.53,2957.108,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,116,6203,M,295947.558,7465.648,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,144,6203,M,1354459.632,46095.922,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,156,6203,M,1140068.515,33476.402,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,208,6203,M,30.025,0.917,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,251,6203,M,21428.823,522.444,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,276,6203,M,33623.98,901.185,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
